 pc_1 pc_2 group
0 0.4569203446231818 -2.423715251056794 num
1 2.487420595975468 -1.6638941437130639 num
2 -2.8144383594345292 0.537854364828763 num
3 0.4569203446231865 -2.4237152510567843 num
4 -2.6089945343473997 -1.0308658471603904 num
5 2.9854802701651524 -1.2379524675007236 num
6 -2.866946318779796 0.9722950668514255 num
7 0.45692034462318 -2.423715251056788 num
8 -2.6089945343474 -1.03086584716039 num
9 3.4835399443548396 -0.8120107912883842 num
10 -2.9194542781250576 1.406735768874091 num
11 -2.6089945343474 -1.03086584716039 num
12 0.45692034462317976 -2.4237152510567874 num
13 -2.6089945343474 -1.03086584716039 num
14 3.9815996185445277 -0.38606911507604375 num
15 -2.9719622374703203 1.841176470896757 num
16 0.45692034462317976 -2.4237152510567874 num
17 -2.6089945343474 -1.03086584716039 num
18 4.479659292734216 0.039872561136295885 num
19 -3.024470196815584 2.275617172919423 num
20 0.45692034462317976 -2.4237152510567874 num
21 -2.6089945343474 -1.03086584716039 num
22 1.491301247596088 -2.5157774961377433 num
23 4.977718966923904 0.46581423734863575 num
24 -3.076978156160845 2.710057874942088 num
25 0.45692034462317976 -2.4237152510567874 num
26 -2.6089945343474 -1.03086584716039 num
27 5.475778641113592 0.8917559135609755 num
28 -3.1294861155061087 3.144498576964754 num
29 0.45692034462317976 -2.4237152510567874 num
30 -2.6089945343474 -1.03086584716039 num
31 5.973838315303278 1.3176975897733159 num
32 -3.181994074851371 3.5789392789874186 num
33 -2.7094224407440093 -0.33102703921657134 num
34 0.45692034462317976 -2.4237152510567874 num
35 -2.6089945343474 -1.03086584716039 num
36 6.471897989492968 1.7436392659856563 num
37 -3.234502034196633 4.013379981010086 num
38 0.45692034462317976 -2.4237152510567874 num
39 -2.6089945343474 -1.03086584716039 num
40 6.9699576636826555 2.1695809421979955 num
41 -3.2870099935418957 4.4478206830327505 num
42 0.45692034462317976 -2.4237152510567874 num
43 -2.6089945343474 -1.03086584716039 num
44 0.45692034462317976 -2.4237152510567874 num
45 7.468017337872344 2.5955226184103357 num
46 -3.3395179528871584 4.882261385055417 num
47 0.45692034462317976 -2.4237152510567874 num
48 -2.6089945343474 -1.03086584716039 num
49 7.966077012062035 3.021464294622676 num
50 -3.392025912232421 5.316702087078082 num
51 0.45692034462317976 -2.4237152510567874 num
52 -2.6089945343474 -1.03086584716039 num
53 8.46413668625172 3.447405970835017 num
54 -3.4445338715776836 5.751142789100749 num
55 -2.6089945343474 -1.03086584716039 num
56 0.45692034462317976 -2.4237152510567874 num
57 -2.6089945343474 -1.03086584716039 num
58 8.962196360441409 3.8733476470473556 num
59 -3.4970418309229463 6.185583491123412 num
60 0.45692034462317976 -2.4237152510567874 num
61 1.989360921785776 -2.0898358199254035 num
62 -2.7619304000892706 0.10341366280609428 num
63 0.45692034462317976 -2.4237152510567874 num
64 -2.6089945343474 -1.03086584716039 num
